2026-03-18 14:11:58,924 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:11:58,924 | INFO | main | dolphin-asr service started.
2026-03-18 14:12:02,610 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:20:27,657 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:20:27,658 | INFO | main | dolphin-asr service started.
2026-03-18 14:23:47,599 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:32:28,673 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:32:28,674 | INFO | main | dolphin-asr service started.
2026-03-18 14:33:03,411 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:33:04,848 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:33:04,848 | INFO | main | dolphin-asr service started.
2026-03-18 14:33:25,021 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:33:39,526 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:33:39,527 | INFO | main | dolphin-asr service started.
2026-03-18 14:34:47,760 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:34:48,582 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:34:48,582 | INFO | main | dolphin-asr service started.
2026-03-18 14:35:45,610 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:35:47,376 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:35:47,377 | INFO | main | dolphin-asr service started.
2026-03-18 14:36:21,938 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:36:58,114 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:36:58,114 | INFO | main | dolphin-asr service started.
2026-03-18 14:41:31,955 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:41:33,927 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:41:33,927 | INFO | main | dolphin-asr service started.
2026-03-18 14:42:04,332 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:42:08,022 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:42:08,023 | INFO | main | dolphin-asr service started.
2026-03-18 14:42:12,787 | INFO | main | dolphin-asr service stopped.
2026-03-18 14:44:34,622 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-18 14:44:34,622 | INFO | main | dolphin-asr service started.
2026-03-18 14:45:10,287 | INFO | main | dolphin-asr service stopped.
2026-03-18 15:36:56,441 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
